artists,titles
A Day To Remember,You Had Me At Hello
MANILA GREY,Activated
Aethek,Slowly But Surely
Rim Banna,Fares Odeh
The Low-Fi Drifters,"Theme From ""Valley of the Dolls"""
HOMESHAKE and  DJ Paypal,(Secret Track) - DJ Paypal Secret Remix
Thomas Knox and  The United States Air Force Band of Flight,American Pageant
S!RiUS BLACK,Come Outside (Interlude)
Ladysmith Black Mambazo,Yibo Labo (These Are the Guys)
Imago,Rainsong
Mari Iijima,Silent Revenge
Quannum Projects and  Lyrics Born and  The Maroons and  Joyo Velarde and  Erinn Anova and  The Poets Of Rhythm and  Divine Styler and  El-P and  Jurassic 5,People Like Me
Caural,Our Solstice Walk
Megaherz,Hurra - Wir Leben Noch
Hal Ketchum,Surrounded By Love
War Tapes,Supposed Human
Johann Sebastian Bach and  Ton Koopman and  Amsterdam Baroque Choir and  Tom Koopman,"""Auf, schmetternde Töne der muntern Trompeten"" BWV 207a"
Laughing Tree,"Twinkle, Twinkle Little Star"
CRYOSAUNA and  Phorme,Execomm
Jamaican Steel Band,Tropical Bird
Gustav Mahler and  Thomas Quasthoff and  Cologne Radio Orchestra and  Gary Bertini,Lieder eines fahrenden Gesellen (Songs of a Wayfarer) (version for voice and orchestra): No. 2. Ging heut morgen ubers Feld
Luci Holland,Disappearing
Jimmy Buffett,Rickety Lane
Bobby Gore and  WickWild,If I Say So
Adolphe Adam and  Slovak Radio Symphony Orchestra and  Andrew Mogrelia,Giselle: Act II: Ensemble des Wilis
Burlak,As I Am
Ludwig van Beethoven and  Stuttgart Radio Symphony Orchestra and  Sir Roger Norrington,"Symphony No. 8 in F Major, Op. 93: II. Allegretto scherzando (Live)"
Hokus Pick,Learning As I Go
Carl Orff and  Laura Claycomb and  Barry Banks and  Christopher Maltman and  Tiffin Boys Choir and  London Symphony Chorus and  London Symphony Orchestra and  Richard Hickox,Carmina Burana: III. Cour d'amours: Si puer cum puellula
Char MacKay,Through the Door
Dietrich Buxtehude and  John Holloway and  Ursula Weiss and  Jaap Ter Linden and  Lars Ulrik Mortensen,"Sonata in F Major, BuxWV 269: Violino 1 solo: 4/4 -"
Redemption,The Fullness of Time: I. Rage
Yusef Lateef aka Barocka and  Mowett and  Swing and  NFL,My Brothas Keeper
Norbert Slama Trio,Nany
Asterhouse,Just in Case
Larkhall,Astronomia
The Sensations,Lonely World
Lost And Found,Neighbor
Traditional and  The Lyrebird Duo,The Minstrel Boy
Paula Frazer,Everywhere
Native Flute Ensemble,Test Of Prophecy
Venus,Félútig Tart A Bánhat
Last Train Home,Gravedigger's Blues
Mark Graham & Orville Johnson,After the Fall
Rebecca Wright & Donald McKay,The Christians & the Pagans
Gabriel Fauré and  BAUM and  Dominique A,Automne (feat. Dominique A)
Krosis,Terminus
The Clint Boon Experience,In Chaos I See
Blasdead,Keep Heavy ... Stay Metal
Rocky Votolato,Your Darkest Eyes
Othmar Schoeck and  Christoph Prégardien and  Michael Gees,"13 Lieder, Op. 19b: No. 1, Nachklang"
Juha Tapio,Joka askeleen
Argus and  Ascent,Cosmic Silence
Ricky Nelson,Almost Saturday Night - Alternate Mix
Drunk Injuns,Mental Holocaust
Pyotr Ilyich Tchaikovsky and  Alexander Titov and  Orchestra New Philharmony St. Petersburg,"Swan Lake, Op.20: Act III, No. 23: Mazurka"
Shovels & Rope,Late Morning Lullaby
Matt the Electrician,Bridge To Nowhere
BIN and  Azevedo and  Mainstreet and  Kizzy,Fim de Nós 2
Leah Andreone,Tighten It Up
Nunu!,Erev Sel Sosanim
"""Lil Boss""",Ol' English - S.L.A.B.ed - Feat. Trae
Tsunami,Punk Means Cuddle
Randy Paris,Mis Ojos Puestos en Ella
Catman Cohen,This Song is for my Mother
Arthur Williams,Mojo Ain't Working
All India Radio,Endless Night
Oz Noy and  Will Lee and  Dave Weckl and  Chris Palmaro,Bug Out
Ween,The HIV Song
Criminal Elament,Life
Blackfire,What Do You See ( featuring Joey Ramone & Jones Benally))
Joaquim Serra and  El Valles Symphony Orchestra and  Salvador Brotons,Rural Impressions: IV. La vall dels ecos (The Valley of Echoes)
Alice In Chains,Heaven Beside You
John Debney,Flower Shop Talk / To the Restaurant / The Realization / Mi Familia
Antonio Vivaldi and  The Sixteen and  Harry Christophers,"Gloria in D Major, RV 589: VII. Domine Fili Unigenite"
Cait,He Sells Sea Shells
Charlie Chesterman,Lullibye
Beautiful Nubia and the Roots Renaissance Band,Abanije
Axdy,A Fright Night
Shahin Najafi,Motenaferam
"LORD JAH-MONTE OGBON and  Machacha and  ""Unik Flow Peace""",For the Ones No Longer Here
Stash Wyslouch,Ice Crisis
Bill Leslie,Kanuga
Giovanni Battista Pergolesi and  Renata Scotto and  Renato Fasano,La Serva Padrona - Intermezzo Primo: Lo Conosco - Duo
Scott Hamilton and  Rossano Sportiello,In the Middle of a Kiss
Los Austeros De Durango,Chapo Marin
Pyotr Ilyich Tchaikovsky and  Eugene Ormandy and  Philadelphia Orchestra,"Violin Concerto in D Major, Op. 35, TH 59: II. Canzonetta. Andante"
The Grass Cats,Searching for a Rainbow
Dutch Denim,Come Little Children
Claude Debussy and  Lee Luvisi and  Anne-Marie McDermott,En blanc et noir: III. Scherzando
Tristam,Party for the Living
Curren$y and  Styles P,Another Score
Robert Evans and  David Palmer,Fantasy Variations for Organ on a Newfoundland Folk Song: Variation 3
Tech N9ne and  Rittz and  Mayday and  Stevie Stone and  CES Cru and  B.o.B. /Krizz Kaliko,Colorado - Bonus Track
Happy Abandon,Heavy Lines
Rock et Belles Oreilles,Génies en herbe - remix
Free Radt,Intro
Mulatu Astatke,Chiferra
BotchiBoromaru,Walking mermaid
Crystal Fighters,Plage - Sazon Booya Remix
Christopher Drake,The Night Before Christmas
Rex Orange County,Face to Face
Joe Henderson and  Billy Higgins and  Ron Carter and  Chick Corea,What's New?
Gracie and Rachel,Sidelines
Bon Savants,Post Rock Defends The Nation
Steven Chera,My One & Only Love
Dana Countryman and  Jean-Jacques Perrey,Troll's Story Morning Theme
Benjamin Britten and  Tim Hugh,"Cello Suite No. 3, Op. 87: Passacaglia: Lento solenne"
Newfound Road,Lonesome Feelin'
Edward Elgar and  Bergen Filharmoniske Kor and  Collegiûm Mûsicûms Kor Bergen and  Edvard Grieg Kor and  Bergen Philharmonic Orchestra and  Andrew Davis,"Scenes from the Saga of King Olaf, Op. 30, As Torrents in Summer: Thyri (Chorus)"
Molly Ryan,Was That the Human Thing to Do? (feat. Banu Gibson & Maude Maggart)
Chastain,Dunk The Funk
Future Leaders of the World,4 Sale
Louise Talma and  Daniel Pailthorpe and  Gabrielle Lester and  Judith Herbert and  Diana Ambache,The Ambient Air: III. Creeping Fog
The Alphabeticians,Rainbowwobniar
Robert Pollard,Ash Ript Telecopter
The Locos,Contrato Limosna
Barbara Dymock & Christine Kydd,Canaan's Land / Why Walk
The Brain Surgeons,Sinful Love
Mojave Phone Booth,Hydrogene
Souls Of Mischief,Fa Sho Fo Real
Jet Harris,San Antonio
Trek Life,Due West
Gareth Coker,The Overseer
Lurrie Bell,Drivin´ Through The Darkness
Plej,Evum
Phaeleh,So Far Away
Debo Band,Blue Awaze
Echo Kraft,Distant Drums Of War
Brent Lewis,The Veil
Jim Seibers,Hell Raisin' Whiskey Chasin'
François Couperin and  Laurence Cummings,"Pieces de clavecin, Book 1: 1st Ordre in G Minor-major: La Milordine"
Dave Mayne,Backporch White Boy Blues
Perry Como and  Henri Rene & His Orchestra,Far Away Places (with Henri René & His Orchestra)
Carte Blanche,Hymn
Beat Beat Beat,Don't Tell Me Now
THE ROOP,Hello - Wild Dee Remix
Parlour Steps,Blindness
Amy Lauren,Away in a Manger
Ernie K-Doe,Mother In Law
Drumsound & Bassline Smith,Freak - Dubstep Mix
Ludwig van Beethoven and  Jenő Jandó,2 Bagatelles
Narada Michael Walden,Thunder/Angel Funk
Soulsearcher,Feelin' Love - Soulsearcher Club Mix
BabyTron and  Allstar JR,Bag Szn
Elvis Presley,The Fool - alt. take 1
The District Attorneys,Stupa
The Bernie Nerow Trio,Red's Romp
Neil Zaza,Angels We Have Heard On High
Johann Walter and  Hans Grüß and  Dresdner Kreuzchor and  Martin Flämig and  Leipzig Capella Fidicinia,Beati Immaculati - Vivat Ioannes Friderich - Vive Luthere - Vive Melanthon
Angels Of Venice,A Chantar Mer
America,Let It Snow
"Amadito Valdés and  ""Juan de Marcos Afrocuban All Stars""",Desagüe y Peñalver
Andrew Pekler,P'luckd
Botanist,Water
Antonio Vivaldi and  Les Boreades de Montreal,"Griselda, RV 718: Chœur final et menuet de la Sinfonia"
"Bonnie ""Prince"" Billy",I Came to Hear the Music
Jim Photoglo,Maybe in a Dream
Joy Postell,Make Believe
Plap Fieldz and  Mrz Potent,Where You Been
Bucky Pizzarelli and  John Bunch And Jay Leonhart,Take The
Altan,Tommy Potts' Slip Jig
Mohammed Saleh Abd Al-Saheb Lelo,Ish lonak ini
Mitch Webb and the Swindles,I.J. and Julie
Aleksandar Dimitrijevic,You Will Bleed
Various Artists,"12 Etudes dans les tons majeurs, Op. 35: Marche funebre: Andantino, Op. 39, No. 5"
David James,T.v.
Draper and  Laura Brehm,All I See
Chad Valley,Ensoniq Funk
Cryostatic Dream,The Longest Journey
Eddie and Luc,MSR
Ivory (IT),Dreamers
AJJ,Love Will Fuck Us Apart
Franz Joseph Haydn and  Tuija Hakkila,"Keyboard Sonata No. 33 in C Minor, Hob. XVI:20: II. Andante con moto"
Pyotr Ilyich Tchaikovsky and  Michael Ponti,"Children's Album, Op. 39, TH 141: No. 3, Playing Hobby-Horses"
Klashnekoff and  Ricko Capito,One Time (feat. Ricko Capito)
Midnight Oil,Kosciusko
Emot,Animals
Johnny Osbourne,Gentle Is The Sound
Williamson Branch,Half Past You
Ensemble Mirable,Ballo del Gran Duca in C major (1626)
Aerosmith,"Train Kept A Rollin' - Live at the Orpheum Theatre, Boston, MA - Feb. 1984"
Rich Hope,La Iguana
Rootkit and  Danyka Nadeau,Real Love
Sunburn In Cyprus,In The Sunshine (big Wheel Remix)
Antonín Dvořák and  Julian Lloyd Webber and  Jiaxin Lloyd Webber and  John Lenehan,"Moravske dvojzpevy (Moravian Duets), Op. 38, B. 69: No. 3. Kranzlein (The Harvesters)"
The Biscuit Brothers,The All Coming 'Round the Mountain Music Block
Gabriel Ananda,Smash - Live Version Remastered
Richard Rodgers and  Philharmonia Orchestra and  William Kidd,Finale - Instrumental
Charma Gal,Kae Le Kae
Herd of Instinct,Torture Garden
Tom Principato Band,Congo Square
Circle,Alotus
Osaze Murray and  Jered Sanders,Power to the People
Joseph Akins,Present Moment
Dick Gaughan,Revolution
Ene Kantak,Jasotzera
Nazoranai,Part 1
Farzad,Conversation
Raining Jane,Diamond Lane
Dirty Projectors,Work Together
Volcano Suns,Local Wise Man
Monstercat,Monstercat Instinct Vol. 1 Album Mix (Part 1)
John Butler Trio,I'd Do Anything
Ludwig van Beethoven and  Heinrich Koll and  Milan Karanovic,"Duo in E-Flat Major for Viola and Cello, WoO 32, ""Mint 2 obligaten Augenglasern"" (With 2 Eyeglasses): Allegro"
Sofia Gubaidulina and  Geir Draugsvoll and  Anders Loguin and  Trondheim Symphony Orchestra and  Øyvind Gimse,Fachwerk
Dietrich Buxtehude and  Lars Ulrik Mortensen,"Suite in D Minor, BuxWV 233, ""D'amour"": III. Sarabande d'Amour - Sarabande"
Melissa Rose Ziemer,Laugh In The Rain
Ciro Hurtado,Magic Mist
Young Koop,13's to the Concrete
Lederhosen Lucil,Candidi Albicani
Udo Jürgens,Schwarzer Kaffee aus San Juan
Meg Myers,Running Up That Hill
KRS-One,Sound of da Police
Michael Allen Harrison,Jingle Bells
"Bernard ""Pretty"" Purdie",Mr. Magic
Tizian Jost,Missing the Right Word
Midnight Syndicate,Crash Aftermath
George Frideric Handel and  Stephan MacLeod and  David Cordier and  Knut Schoch and  Barbara Schlick and  Claron McFadden and  Marcel Beekman and  Gotthold Schwarz and  Junge Kantorei and  Frankfurt Baroque Orchestra and  Joachim Carlos Martini,"Saul, HWV 53: Act I Scene 6: Preserve him for the Glory of thy Name (Chorus)"
Giuseppe Verdi and  Anna Moffo and  Richard Tucker and  Robert Merrill and  Anna Reynolds and  Piero de Palma and  Franco Ventriglia and  Vito Susca and  Liliana Poli and  Fernando Previtali,La Traviata: Act I: Dell'invito trascora è già l'ora
Droxity,Location
Marcel Dettmann,Stranger
Ricky Martin,Vuelve
Go Jane Go,Go Jane Go (feat. Kieran Kane)
Toni Braxton,Spanish Guitar
Hopesfall,Rx Contender The Pretender
Vengeance Rising,Countless Corpses
Seabear,Good Morning Scarecrow
The Shazam,Goodbye American Man
Crewsont,Just Die
Knut Reiersrud and  Ale Möller,Buck Ride - Live
Pentagon,Sklave (Orange Sector Mix)
Boney M.,Heart of Gold
John Wolfington,Maybe I'll Go
The Keil Isles,Crazy Dreams
Joey De Leon,Pakikay
Dub Rogue and  Dieb in Dub,Loneliness in the Sky
Junior H,El AK
Project Grand Slam,1972
Vincent Persichetti and  University Of Texas Chamber Singers and  University of Texas Chamber Orchestra and  James Morrow,"Flower Songs, Op. 157: No. 4. Is there a Flower"
Becky G,SI SI
Weezer,Billie Jean
Savage Ga$p and  lilbootycall,"shooting star, mt. silver (feat. lilbootycall)"
Roz Brown,Away in a Manger
Jungle52,Shine
Francis Poulenc and  Joshua Ellicott and  Lisa Friend and  David Cowley and  Jarek Augustyniak and  Simon Desbruslais and  Tamsin Waley-Cohen,Quatre poèmes de Max Jacob: III. Poète et ténor
Black Stone Cherry,Down In The Bottom
WHY?,Fatalist Palmistry
Marc Filmer,The Eternal Now
Tony Butler,I Can't Let Go
Bedřich Smetana and  Slovak Philharmonic and  Barry Wordsworth,Ma vlast (My Fatherland): Vltava (Moldau)
Jimmy LaFave,Cafe in the Rain
Weather Report,Update
Variable Unit,"I Am On a Journey To My Soul, But the Police Just Pulled Me Over"
Edvard Grieg and  Malmö Symphony Orchestra and  Bjarte Engeset,"Gammelnorsk romanse med variasjoner (Old Norwegian Melody with Variations), Op. 51 (version for orchestra): Adagio molto espressivo"
Row Mane Lettuce,"Mi Flor, Mi Amor"
Cullen Omori,Happiness Reigns
Butch Baldassari,Maydelle's Reel
The Soulettes,Find Somebody New
Leæther Strip and  Claus Larsen,Pain Is Beautiful
Arrigo Boito and  Riccardo Muti,Mefistofele: Act III - L'altra notte in fondo al mare
Les Primitifs Du Futur,"Ménage à Trois, Spooky Scat"
Skyla Burrell Blues Band,Bad Dream
Earl & The Losers,Hot Rod
Minua and  Fabian Willmann and  Kristinn Kristinsson and  Luca Aaron,Parallel Overpass
Burnt By The Sun,F-Unit
Gadjo,Waiting
Young Thug and  Lil Uzi Vert,What's the Move (feat. Lil Uzi Vert)
Young Mister,Shine Like That
The Pied Pumkin String Ensemble,There Twas Her Tam
Tori Amos,"1,000 Oceans - Live In Syracuse 10/13/07"
PIST,Wither
Kyper,I Wanna Freak (Original Mix)
Monk Hughes & The Outer Realm and  Madlib,Irvine's Vine (Spirit Man's Lament)
Robert Schumann and  Einav Yarden,"Waldszenen, Op. 82: II. Jäger auf der Lauer"
Nina Simone,Everytime We Say Goodbye
Assen Vassilev and  Metodi Matakiev and  Slavonic Voices Male Chamber Choir,Our Father
The Mood Elevator,Life Line
Various Artists,"The Well-Tempered Clavier, Book 2, BWV 870 - 893: Fugue"
13th Floor Elevators,You Can't Hurt Me Anymore (Alternate) [Take 1: Remixed]
Honey Dijon and  Tim K and  Nomi Ruiz and  DJ Seinfeld,Why (feat. Nomi Ruiz) - DJ Seinfeld Remix
Lonestar,I Want A Love
Diamond Rio,In a Week or Two
Max Reger and  Ulf Wallin and  Roland Pöntinen,"Little Sonata in A Major, Op. 103b No. 2: III. Larghetto"
Emmylou Harris,J'ai fait tout
Azélie,There's No Tomorrow
For Squirrels,The Immortal Dog And Pony Show
Michael Daugherty and  Bournemouth Symphony Orchestra and  Marin Alsop,Sunset Strip: III. 7 AM
Taproot,A Kiss From the Sky
Cookie & The Cupcakes and  Shelton Dunaway,Betty and Dupree
The Pineapple Thief,You Don`t Look so Innocent
Shy Guys,Goodbye to You
La Beriso,Como Dejar
His Holiness Quartet and  Ernest Phipps,Don't Grieve After Me
10 and 000 Maniacs,What's the Matter Here (Live)
Vitamin String Quartet,Break Dreams
The Whistles & The Bells,Zombie Heartz
Robert Babicz,Tbilisi
Krosis,Apathos Renaissance
The Turtles,You Know What I Mean - Remastered
Anna Troy Band,In This Room
Kamikaze Palm Tree,Run Around
Trans-Dimensional Voice,Reincarnation Part Ii
ātman and  robert skèpis,Jamming in Rio
Trapt,Headstrong - Radio Version
The Coup,Pizza Man (Skit)
MOEZART 3RDEYE,Survival
The Foreign Exchange and  Darien Brockington,Take Off The Blues
kent,När det blåser på månen
Poco,"Just In Case It Happens, Yes Indeed - Live at Duke University, Sept 25, 1971"
Johann Sebastian Bach and  Arleen Auger and  Adalbert Kraus and  Wolfgang Schöne and  Indiana University Chamber Singers and  Bach-Collegium Stuttgart and  Helmuth Rilling,"Der Himmel lacht, die Erde jubilieret, BWV 31: Chorale: So fahr ich hin zu Jesu Christ (Chorus)"
Edvard Grieg and  Einar Steen-Nøkleberg,3 Piano Pieces: Allegro agitato
Jim Snidero,Waves of Calm
Andy Colvin & Ed Hall,Boogie Pussy (Picnic Advantage Mix)
The Sloths,Everybody's Tyin' 2 B Somebody
Kate MacLeod and Kat Eggleston,Drawn from the Well
Tuff London and  Rachel Barror,Bits & Pieces (feat. Rachel Barror) - Tuff London's Underground Remix Edit
Luisito Ayala Y Su Puerto Rican Power,Otro Poco
Horslips,Sideways to the Sun - Live
Vibes Alive,Smokin'
Good Riddance,Pox Americana
Secret Garden,Celebration - Live
somunia,Internet girl
Sean Doyle,Song of Repentance
Nekrogoblikon,Nothing but Crickets
The Speed Of Sound,I Don't Wan't Your Attentions
Gordon Grdina and  Gary Peacock and  Paul Motian,Different Places
WWE and  Jim Johnston,The Rock
Ashana,Om Tare
The Fartz,Out Of Control Pt. 2
The Georgia Mass Choir,Walk In the Light
UHF,Easy
Chris Washburne and  The Syotos Band,"Get Up, Stand Up"
Too Slim and the Taildraggers,Time Has Come Today
Iberis,She Doesn't Answer
Michael Occhipinti,One Of The Best Ones
Cradle Of Filth,Tearing The Veil From Grace
Rench,Dirty Bomb
Emily Blue,Your Heartbeat Is
Dj Uncle Al,Gunz Down
Human Nature,The Lady Is a Tramp
The Russian Doctors,Alte Henne - Live
Wendy Rule,The Wheel Will Turn
Ruth Koleva and  Stamina MC,Gone (feat. Stamina MC)
Ashanti,Scars
Virtue,Everything Will Be All Right
Bread,Look What You've Done - 2015 Japan Remaster
Cindy Bradley,Bloom
The Mary Timony Band,Window
K.I.N.E.T.I.K. and  Micall Parknsun and  Imperial,Launderette Laureate
"""Ol Dirty Bastard"" and  Kelis and  Rich Travali",Got Your Money (feat. Kelis) - DJ Dee Kline and Ed209 Breakbeat Mix
Cutthoat Committee,I Can't See
Descarnado,Omnipresencia
Howard Hanson and  Oregon Symphony and  Carlos Kalmar,"Symphony No. 4, Op. 34 ""Requiem"": III. Dies irae. Presto (Live)"
Crackazat,Night Jog (Mini Beat)
Raintime,One Day
Tad Marks,Ashokan Farewell
Bride,Blow It All Away
The Company,Boogie Wonderland
MYG,Come Into Da Soundbooth
Marian Call,The Volvo Song (Live)
Clubroot,'Orbiting'
David Allan Coe,Sing Me Back Home
Howard Zinn,Getting the Supreme Court Involved
Leona Lewis,Winter Wonderland
My Love Kills,2 As 1 - Demo Version
Harry Connick and  Jr.,Time After Time
Dietrich Buxtehude and  Emma Kirkby and  John Holloway and  Manfredo Kraemer and  Jaap Ter Linden and  Lars Ulrik Mortensen,"Sicut Moses exaltavit serpentem, BuxWV 97"
Shoddy Boi and  P3 and  Kilo,Hatin On
Tito Beltrán and  The City of Prague Philharmonic Orchestra,Caruso
Matt Lange and  Ad Brown,East Coast - Ad Brown Remix
Rob Acid,Pro-Gression
Vixen,New Age Rock-n-roller
Ludwig van Beethoven and  Borodin Quartet,"String Quartet No. 1 in F Major, Op. 18: II. Adagio affettuoso ed appassionato"
Merengue Latin Band,La Morena
Sinfonico Honolulu,Paperback Writer
Blues Attitude,White Line Fever
Speaking Canaries,Summer's Empty Resolution
Spell,Dark Desires
Tryhardninja,Snake Charmer
Bourne and MacLeod,Oh Love
Stephin Merritt,Beauty
Nego do Borel and  Anitta and  Wesley Safadão,Você Partiu Meu Coração (feat. Anitta & Wesley Safadão)
Mary Jane Lamond,Bal na h-Aibhne Deas
Lee Konitz,Who You
Clark Terry and  DePaul University Big Band,Just a-Sitting and a-Rockin'
Wolfgang Amadeus Mozart and  Capella Istropolitana and  Johannes Wildner,"March in D Major, K. 249"
Zac Harmon,The Price of Lovin You
Atkins May Project,World at War
Samuel Coleridge-Taylor and  Philippe Graffin and  Johannesburg Philharmonic Orchestra and  Michael Hankinson,"Violin Concerto in G Minor, Op. 80: Allegro maestoso- vivace"
Huckleberry Flint,Fly Around
Sonus,Senpre Punnow Muit' A Virgen
Nicholas Brodszky and  Mario Lanza and  Constantine Callinicos,I'll Walk With God
Bruce Faulconer,Country Store
Erase Errata,Ouija Boarding
Haive Music,Incessant Chatter
Patrick Sweany Band,Nobody Dance
Groove Armada,My Friend
Antonio Vivaldi and  Takako Nishizaki and  Capella Istropolitana and  Stephen Gunzenhauser,"The 4 Seasons: Violin Concerto in F Minor, Op. 8, No. 4, RV 297, ""L'inverno"" (Winter): II. Largo"
Edvard Grieg and  Mark Bebbington and  Royal Philharmonic Orchestra and  Jan Latham-Koenig,"Piano Concerto in B Minor, EG 120 (Fragment) [Arr. R. Matthew-Walker for Piano & Orchestra]"
Richard Wagner and  Endrik Wottrich and  Kwangchul Youn and  Albert Dohmen and  Eva-Maria Westbroek and  Linda Watson and  Michelle Breedt and  Sonja Muhleck and  Anna Gabler and  Martina Dike and  Simone Schroder and  Edith Haller and  Wilke te Brummelstroete and  Annette Kuttenbaum and  Manuela Bress and  Bayreuth Festival Orchestra and  Christian Thielemann,Die Walkure: Act I Scene 1: Prelude
The Necessary Evils,Play With Fire
ILLENIUM and  Annika Wells and  MOTi,Nightlight - MOTi Remix
Namy and  Barbara Tucker and  Terry Hunter,I Can't Wait - Terry Hunter Bang Jazz Main
Boss Bop and  Gas YB,I Don't Even Know
The David Grisman Bluegrass Experience,Rock Hearts
People Plus,O.S.C. 1
Sweet Female Attitude,DJ Play It
"""Lil Flip"" and  Jay Townsend",Gangsta Party Pt. 2
José El Francés,Te Necesito
Johannes Brahms and  Mika Sasaki,Variation 13: Non troppo Presto
Kenny Chesney,Everyone She Knows
Minsk,White Wings
Roosevelt Sykes,"3-6 and 9 (Three, Six and Nine)"
Death,Flattening of Emotions - Live
Kingston Wall,Shine On Me - Live
Fahir Atakoğlu,Look Sweetheart-Bak Canikom
Los Straitjackets,Jungleaya
Michael Tippett and  Bournemouth Symphony Orchestra and  Richard Hickox,"Symphony No. 1*: I. Allegro vigoroso, quasi alla breve"
Mac Dre,"Sex, Drugs, Rap"
Golden Bear,Devils Painted Red
Astartica,We Are The New
Radio.String.Quartet,Meeting Of The Spirits
Ben Rector,The Thanksgiving Song
George Frideric Handel and  Stephan MacLeod and  David Cordier and  Knut Schoch and  Barbara Schlick and  Claron McFadden and  Marcel Beekman and  Gotthold Schwarz and  Junge Kantorei and  Frankfurt Baroque Orchestra and  Joachim Carlos Martini,"Saul, HWV 53: Act I Scene 6: Accompagnato: O Filial Piety! (Jonathan)"
Perry Como,Turn Around
Maurice Ravel and  Sviatoslav Richter,"Miroirs, M. 43: No. 5, La vallée des cloches"
The Atomic Bitchwax,Intro (Live)
Henry Purcell and  Retrospect Trio and  Matthew Halls,"Sonata No. 7 in C Major, Z. 808: Sonata No. 7 in C Major, Z. 808: IV. Canzona"
Federico Moreno Torroba and  Pepe Romero,Aires de La Mancha: No. 4. La Pastora
Gustav Holst and  Royal Philharmonic Orchestra,Brook Green Suite - Ii - Air
Sammy Jimenez,Abrazame
Georges Bizet and  Alfredo Kraus and  Giuseppe Taddei,Bizet: The Pearl Fishers: Au fond du temple saint - Act One
LeAnn Rimes,Soon
"""Smokin Joe Kubek & Bnois King""",Yankin' My Chain
Loveswagu,HIGHEND
John Parr,St. Elmo's Fire (Man In Motion)
Heathen,Hypnotized
Joseph Martin Kraus and  Swedish Chamber Orchestra and  Petter Sundkvist,"Symphony in F Major, VB 130: II. Andante"
Ange Hardy,Esteesee
Ceili Moss,As Far As The Eye Can See
Foreign Talks,Man
Chicago Underground Trio,Slon
The Cars,Drive - 2016 Remaster
Max Shrager,Thoughts Of You
Bruce Cockburn,This Is Baghdad
Joaquín Rodrigo and  Castile and Leon Symphony Orchestra and  Max Darman Bragado,Musica para un jardin: Berceuse de verano
Ricked Wicky,Tomfoole Terrific
Clannad,The Wild Cry
Patrick Palomo,Mission of Mercy
Bloodless Mushroom,Constructing
The Magnetic Fields,'77: Life Ain't All Bad
Curtis Macdonald,Till There Was You
Sena Ehrhardt,Chilled to the Bone
Sojourner,The Deluge
Eli Rainsberry,Powering Through (LAN-DN)
The Chicks,Lullaby
Yanga Chief,BBAF
Light Drive,So Beyond
Reed Foehl,Wolves
Rudy Royston Trio,Alnitak
Beautiful Nubia and the Roots Renaissance Band,Awilele (Live)
Daforce and  Crysto Klear and  Curtis Dayne,Go Go Go - Club Mix
Béla Bartók and  Aeolus Quartet,"String Quartet No. 5, BB 110: II. Adagio molto"
Control X,Babylon - Sky Dive Mix By Human Mesh Dance
Sonny Burgess & Bobby Crafford And The Pacers,Short Squashed Texan - Studio
Barry Levenson,Flip Side
Yoyoy Villame,Hayop Na Combo
American Princes,"Providence, RI"
He Whose Ox Is Gored,Void Assault (VOIDED Mix)
Dr. John and  WDR Big Band,I'm Just A Lucky So and So
Carly Simon,It Was So Easy
Philipp Kirkorov,Женские глаза
The Stone Coyotes,The Tic Toc Lounge
Mooryc,Jupiter
James,Sixth Ward Soul
La Coka Nostra and  Sick Jacken,Fuck Tony Montana (feat. Sick Jacken of Psycho Realm & B-Real of Cypress Hill)
Johann Sebastian Bach and  Amsterdam Baroque Orchestra and  Amsterdam Baroque Choir and  Ton Koopman,"""Ich freue mich in dir"" BWV 133: Recitative (Bass): ""Wohlan! Des todes Furcht and Schmerz"""
Mark Mikel,Let's Go Get High
"""Keb Mo""",A Better Man
Ripcordz,If It's Gonna Be
Die Prinzen,Die Thräne
The Byrds,Chestnut Mare
Tesfa and  The Twin,Never Slip
Various Artists,"Gotterdammerung (Twilight of the Gods): Act II: Scene 1 - Schlafst du, Hagen, mein Sohn?"
Giannis Haroulis,An Iha
Windy City Islanders,Paradise Is Only Lake Shore Drive Away
Mike McCready and  Thunderpussy,Shuffle Your Feet
Lubomyr Melnyk,Marginal Invitation
"Antony Pitts and  Orlando Gibbons and  ""Alexander LEstrange"" and  Tonus Peregrinus",The Hymnes and Songs of the Church (arr. A. Pitts): No. 9. The First Canticle: Come kiss me with those lips of Thine
Pictureplane,B.D.S.M
Adrian Rollini,Old Fashioned Love
Lysergabolic Mnexobile Psylophetamol,Silverspeed
Sara Jackson-Holman,Let Me In
Paul Marinaro,Fools Rush In
IDE and  Savage Messiah,Haight And Ashbury Ft. Savage Messiah
Jamie Alimorad,Does It Really Have to End This Way
Bright Eyes,Soon You Will Be Leaving Your Man
Roy Gaines,Oh Annabelle
Downchild,Tonight I Want To Dance With You
Tim Wynn,The Blade's Edge
Mephiskapheles,Plan B
Alicia Bessette,Loons
Francis Poulenc and  Olivier Cazal,"Pastourelle (L'Eventail de Jeanne): Modere, sans lenteur"
You Blew It!,"I Am, I'm Trying"
Paul Hardcastle Jr.,Espanyah (feat. Paul Hardcastle Jr.)
Laurie Morvan,Stay with Me
Roger Whittaker,Leben mit dir
